Baby	132845.1500000001
Books	149213.91000000006
CDs	142896.8400000002
Cameras	134448.18000000002
Children's Clothing	138348.2400000001
Computers	141206.5399999999
Consumer Electronics	147882.21000000014
Crafts	137843.04999999993
DVDs	133396.25999999992
Garden	134093.7600000001
Health and Beauty	143057.22999999992
Men's Clothing	145254.71000000014
Music	130034.72000000007
Pet Supplies	143597.81999999986
Sporting Goods	134396.81999999995
Toys	139445.64999999985
Video Games	147361.19000000003
Women's Clothing	136447.38
